154, 1709, 6787.6668, 13.574519
155, -277, 6787.2161, 13.573618
156, 547, 6786.7654, 13.572716
157, -654, 6786.3147, 13.571815
158, 1024, 6785.8640, 13.570914
159, -277, 6785.4132, 13.570012
160, -1278, 6784.9625, 13.569111
161, 1659, 6784.5118, 13.568210
162, 1410, 6784.0611, 13.567308
163, 1021, 6783.6104, 13.566407
164, -1051, 6783.1597, 13.565505
165, -793, 6782.7090, 13.564604
166, 1240, 6782.2582, 13.563703
167, -517, 6781.8075, 13.562801
168, -832, 6781.3568, 13.561900
169, 672, 6780.9061, 13.560999
170, -1399, 6780.4554, 13.560097
171, 811, 6780.0047, 13.559196
172, 486, 6779.5540, 13.558294
173, 852, 6779.1032, 13.557393
174, -686, 6778.6525, 13.556492
175, -43, 6778.2018, 13.555590
176, 607, 6777.7511, 13.554689
177, 27, 6777.3004, 13.553788
178, -135, 6776.8497, 13.552886
179, 966, 6776.3990, 13.551985
180, -569, 6775.9482, 13.551083
181, -511, 6775.4975, 13.550182
182, -367, 6775.0468, 13.549281
183, -77, 6774.5961, 13.548379
184, 1418, 6774.1454, 13.547478
185, 1581, 6773.6947, 13.546577
186, 1099, 6773.2440, 13.545675
187, 296, 6772.7932, 13.544774
188, 1084, 6772.3425, 13.543872
189, -857, 6771.8918, 13.542971
190, 523, 6771.4411, 13.542070
191, 697, 6770.9904, 13.541168
192, -1522, 6770.5397, 13.540267
193, 872, 6770.0890, 13.539366
194, -824, 6769.6382, 13.538464
195, 888, 6769.1875, 13.537563
196, -415, 6768.7368, 13.536661
197, 242, 6768.2861, 13.535760
198, -755, 6767.8354, 13.534859
199, -629, 6767.3847, 13.533957
200, -616, 6766.9340, 13.533056
201, -914, 6766.4832, 13.532155
202, 179, 6766.0325, 13.531253
203, -1610, 6765.5818, 13.530352
204, 108, 6765.1311, 13.529450
205, -929, 6764.6804, 13.528549
206, 1000, 6764.2297, 13.527648
207, 166, 6763.7790, 13.526746
208, 489, 6763.3282, 13.525845
209, -456, 6762.8775, 13.524944
210, -1790, 6762.4268, 13.524042
211, -619, 6761.9761, 13.523141
212, -762, 6761.5254, 13.522239
213, 557, 6761.0747, 13.521338
214, 23, 6760.6240, 13.520437
215, 585, 6760.1732, 13.519535
216, -1669, 6759.7225, 13.518634
217, 2143, 6759.2718, 13.517733
218, 436, 6758.8211, 13.516831
219, 1507, 6758.3704, 13.515930
220, -1028, 6757.9197, 13.515028
221, 296, 6757.4690, 13.514127
222, -1854, 6757.0182, 13.513226
223, -154, 6756.5675, 13.512324
224, 595, 6756.1168, 13.511423
225, 658, 6755.6661, 13.510522
226, 129, 6755.2154, 13.509620
227, 243, 6754.7647, 13.508719
228, -605, 6754.3140, 13.507817
229, 933, 6753.8632, 13.506916
230, 1303, 6753.4125, 13.506015
231, 1094, 6752.9618, 13.505113
232, 1085, 6752.5111, 13.504212
233, 829, 6752.0604, 13.503311
234, -1290, 6751.6097, 13.502409
235, -1440, 6751.1590, 13.501508
236, 221, 6750.7082, 13.500606
237, 307, 6750.2575, 13.499705
238, -1641, 6749.8068, 13.498804
239, -1617, 6749.3561, 13.497902
