A not refine,0.957380918318896
"D not refine, cm2/s",2.8451252075212024e-07
A refined,1.0024318513720805
"D refined, cm2/s",4.280367562791716e-07
Integrals refined,"[1.238496398027138, 1.2230274713942504, 1.2029494637641, 1.211430746526031, 1.202882413352993, 1.159973593604684, 1.1946631466023336, 1.1524668396033182, 1.1171317753822496, 1.117407621840136, 1.0432764371468766, 0.9534499880665179, 0.8745183127782058, 0.8128803491037546, 0.7042292642698921, 0.5957272484233895, 0.4858553004659541, 0.43255161053048163, 0.32317198881804277, 0.22047251567720744]"
Gradients,"[2.183, 3.621, 4.72, 5.701, 6.63, 7.549, 8.497, 9.506, 10.633, 11.963, 13.708, 16.669, 19.663, 22.615, 25.557, 28.58, 31.796, 35.341, 39.467, 44.673]"
